Timestamp,Roughly how many people are in the friend group you usually try (and sometimes fail) to make plans with?,"In the last 3 months, what proportion of hangouts got talked about in a chat but NEVER actually happened?",Rank the following barriers to you meeting your friends [Clashing schedules],Rank the following barriers to you meeting your friends [Distance],Rank the following barriers to you meeting your friends [Activity Idea],Rank the following barriers to you meeting your friends [Disagree on location],Rank the following barriers to you meeting your friends [Lack of motivation],Rank the following barriers to you meeting your friends [Bad communication],"When you are only slightly unsure you can make a plan, what response do you usually send?","In your experience, has it been easier to make plans for a larger group?","After a plan is firmly set (date, time, location confirmed), how often does someone bail last-minute (within 24 hours)?","If you could privately signal ""I'd be up for something this week"" (and it stayed invisible unless it matched others), would you send this signal more, the same, or less than messaging the group directly?",Have you ever lied or made up an excuse to avoid a friend meetup that was already planned?,"If you have ever bailed on/not turned up to a planned event, what was the reason?","When attempting to initiate a meetup, how often does the initial suggested date/time get agreed upon without change?",Who typically takes the lead in initiating and coordinating meetups in your friend group?,How irritated do you feel when plans fall apart?
5/19/2026 18:54:50,2 - 3,75 - 100%,Often,Rarely,Sometimes,Rarely,Rarely,Sometimes,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Never,The same amount,"Yes, occasionally",i was sick,Rarely (less than 25% of the time),Mostly one specific friend (not me),1
5/19/2026 18:55:12,4 - 6,10 - 30%,Sometimes,Never,Often,Often,Never,Often,A clear yes,"No, smaller groups make it easier",About half the time (~50%),More often than messaging the group directly,"No, never",Work,Almost never,It's evenly distributed among a few friends,2
5/19/2026 18:56:47,4 - 6,75 - 100%,Rarely,Sometimes,Sometimes,Rarely,Often,Rarely,Nothing yet (silence/delaying the response),"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"No, never",Clashing with work :(,Rarely (less than 25% of the time),Mostly one specific friend (not me),1
5/19/2026 18:56:53,7+,30 - 50%,Sometimes,Often,Rarely,Often,Often,Sometimes,Nothing yet (silence/delaying the response),"No, smaller groups make it easier",About half the time (~50%),The same amount,"No, never",,Rarely (less than 25% of the time),It's evenly distributed among a few friends,2
5/19/2026 18:57:50,4 - 6,50 - 75%,Rarely,Often,Rarely,Sometimes,Sometimes,Sometimes,Nothing yet (silence/delaying the response),"No, smaller groups make it easier",Rarely (less than 10% of the time),The same amount,"Yes, occasionally",Too tired to go potentially because its too far or something else comes up.,Rarely (less than 25% of the time),It's evenly distributed among a few friends,2
5/19/2026 18:59:37,4 - 6,50 - 75%,Never,Often,Sometimes,Often,Sometimes,Rarely,Nothing yet (silence/delaying the response),"No, smaller groups make it easier",Rarely (less than 10% of the time),The same amount,"Yes, occasionally",that shit was in bromley :vomit:,About half the time (~50%),Mostly one specific friend (not me),2
5/19/2026 19:01:41,7+,0 - 10%,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",About half the time (~50%),More often than messaging the group directly,"No, never",Work or family reasons,Often (more than 75% of the time),No one consistently takes the lead,3
5/19/2026 19:02:53,2 - 3,30 - 50%,Often,Rarely,Rarely,Rarely,Often,Sometimes,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"No, never",,About half the time (~50%),Mostly one specific friend (not me),3
5/19/2026 19:03:17,2 - 3,0 - 10%,Rarely,Often,Never,Never,Never,Never,A clear yes,The group size does not matter,Rarely (less than 10% of the time),I wouldn't use this feature,"No, never",,About half the time (~50%),It's evenly distributed among a few friends,3
5/19/2026 19:03:18,2 - 3,30 - 50%,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"No, never",Other person had clashes or was running late ,Often (more than 75% of the time),Mostly me,
