"Timestamp","Roughly how many people are in the friend group you usually try (and sometimes fail) to make plans with?","In the last 3 months, what proportion of hangouts got talked about in a chat but NEVER actually happened?","Rank the following barriers to you meeting your friends [Clashing schedules]","Rank the following barriers to you meeting your friends [Distance]","Rank the following barriers to you meeting your friends [Activity Idea]","Rank the following barriers to you meeting your friends [Disagree on location]","Rank the following barriers to you meeting your friends [Lack of motivation]","Rank the following barriers to you meeting your friends [Bad communication]","When you are only slightly unsure you can make a plan, what response do you usually send?","In your experience, has it been easier to make plans for a larger group?","After a plan is firmly set (date, time, location confirmed), how often does someone bail last-minute (within 24 hours)?","If you could privately signal ""I'd be up for something this week"" (and it stayed invisible unless it matched others), would you send this signal more, the same, or less than messaging the group directly?","Have you ever lied or made up an excuse to avoid a friend meetup that was already planned?","If you have ever bailed on/not turned up to a planned event, what was the reason?","When attempting to initiate a meetup, how often does the initial suggested date/time get agreed upon without change?","Who typically takes the lead in initiating and coordinating meetups in your friend group?","How irritated do you feel when plans fall apart?"
"2026/05/19 7:03:30 PM GMT+1","2 - 3","10 - 30%","Sometimes","Often","Sometimes","Sometimes","Rarely","Rarely","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","Yes, occasionally","No reason wanted to avoid going","About half the time (~50%)","Mostly one specific friend (not me)","3"
"2026/05/19 7:04:58 PM GMT+1","2 - 3","10 - 30%","Sometimes","Often","Rarely","Never","Sometimes","Rarely","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Never","The same amount","Yes, often","","Almost never","","2"
"2026/05/19 7:05:05 PM GMT+1","4 - 6","30 - 50%","Often","Sometimes","Rarely","Rarely","Sometimes","Rarely","A 'maybe' or tentative acceptance","The group size does not matter","Rarely (less than 10% of the time)","The same amount","Yes, occasionally","Unexpected things popping up","Often (more than 75% of the time)","Mostly one specific friend (not me)","2"
"2026/05/19 7:08:52 PM GMT+1","4 - 6","10 - 30%","Often","Often","Often","Rarely","Rarely","Rarely","A 'maybe' or tentative acceptance","The group size does not matter","Rarely (less than 10% of the time)","I wouldn't use this feature","No, never","Illness, busyness or mutual cancellation","About half the time (~50%)","It's evenly distributed among a few friends","2"
"2026/05/19 7:13:56 PM GMT+1","2 - 3","0 - 10%","Rarely","Never","Never","Never","Sometimes","Never","i just tell them i am unsure whether i can do this and say ill get back to them by a certain point","No, smaller groups make it easier","Rarely (less than 10% of the time)","I wouldn't use this feature","No, never","collide with family event/cba (this case i just tell them)","Almost never","It's evenly distributed among a few friends","2"
"2026/05/19 7:14:47 PM GMT+1","4 - 6","30 - 50%","Often","Never","Never","Sometimes","Sometimes","Sometimes","A 'maybe' or tentative acceptance","The group size does not matter","Rarely (less than 10% of the time)","The same amount","Yes, often","Too busy being a bum","Almost never","It's evenly distributed among a few friends","2"
"2026/05/19 7:18:21 PM GMT+1","2 - 3","10 - 30%","Sometimes","Often","Sometimes","Rarely","Rarely","Sometimes","A 'maybe' or tentative acceptance","No, smaller groups make it easier","About half the time (~50%)","The same amount","No, never","Unforeseeable situation; strike actions, sickness etc.","Often (more than 75% of the time)","No one consistently takes the lead","1"
"2026/05/19 7:22:07 PM GMT+1","4 - 6","10 - 30%","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","Yes, occasionally","Couldn't be bothered on the day tbh","About half the time (~50%)","Mostly one specific friend (not me)","3"
"2026/05/19 7:23:53 PM GMT+1","4 - 6","10 - 30%","Sometimes","Rarely","Sometimes","Rarely","Never","Rarely","Nothing yet (silence/delaying the response)","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","Yes, occasionally","girlfriend didn't want me going","Rarely (less than 25% of the time)","Mostly one specific friend (not me)","3"
"2026/05/19 7:25:57 PM GMT+1","4 - 6","50 - 75%","Often","Sometimes","Often","Rarely","Sometimes","Often","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","The same amount","Yes, occasionally","Sick, too tired or something came up last minute ","About half the time (~50%)","It's evenly distributed among a few friends","3"
